,train_task,train_ag,train_neg,seed,jsd
0,vs 1,1ADQ,1FBI,0,3.8593828988692223
1,vs 1,1ADQ,1H0D,0,3.1922007686307086
2,vs 1,1ADQ,1NSN,0,3.50011893436494
3,vs 1,1ADQ,1OB1,0,3.2559175690447377
4,vs 1,1ADQ,1WEJ,0,3.583241609476446
5,vs 1,1ADQ,2YPV,0,3.0340554218765012
6,vs 1,1ADQ,3RAJ,0,2.1052645949637716
7,vs 1,1ADQ,3VRL,0,4.197909467725461
8,vs 1,1ADQ,5E94,0,3.160970508241473
9,vs 1,1FBI,1ADQ,0,3.8593828988692223
10,vs 1,1FBI,1H0D,0,3.8715534268514302
11,vs 1,1FBI,1NSN,0,4.8368064657781975
12,vs 1,1FBI,1OB1,0,4.744439432627586
13,vs 1,1FBI,1WEJ,0,4.29628239913218
14,vs 1,1FBI,2YPV,0,4.05138744308478
15,vs 1,1FBI,3RAJ,0,3.430753716351924
16,vs 1,1FBI,3VRL,0,5.018089053686528
17,vs 1,1FBI,5E94,0,4.401771043988719
18,vs 1,1H0D,1ADQ,0,3.1922007686307086
19,vs 1,1H0D,1FBI,0,3.8715534268514302
20,vs 1,1H0D,1NSN,0,3.8048347234868904
21,vs 1,1H0D,1OB1,0,4.745243117237223
22,vs 1,1H0D,1WEJ,0,4.238032341692297
23,vs 1,1H0D,2YPV,0,3.3915037833676154
24,vs 1,1H0D,3RAJ,0,3.417091899164855
25,vs 1,1H0D,3VRL,0,4.523842098317358
26,vs 1,1H0D,5E94,0,3.4999209266050366
27,vs 1,1NSN,1ADQ,0,3.50011893436494
28,vs 1,1NSN,1FBI,0,4.8368064657781975
29,vs 1,1NSN,1H0D,0,3.8048347234868904
30,vs 1,1NSN,1OB1,0,3.9855286870644884
31,vs 1,1NSN,1WEJ,0,4.100480946587315
32,vs 1,1NSN,2YPV,0,4.048818150912247
33,vs 1,1NSN,3RAJ,0,3.483258370621299
34,vs 1,1NSN,3VRL,0,3.6976026156916015
35,vs 1,1NSN,5E94,0,4.078814964308493
36,vs 1,1OB1,1ADQ,0,3.2559175690447377
37,vs 1,1OB1,1FBI,0,4.744439432627586
38,vs 1,1OB1,1H0D,0,4.745243117237223
39,vs 1,1OB1,1NSN,0,3.9855286870644884
40,vs 1,1OB1,1WEJ,0,3.5856934785005903
41,vs 1,1OB1,2YPV,0,4.3253267411113905
42,vs 1,1OB1,3RAJ,0,2.6437641256988313
43,vs 1,1OB1,3VRL,0,4.256456565439956
44,vs 1,1OB1,5E94,0,3.4563586007510723
45,vs 1,1WEJ,1ADQ,0,3.583241609476446
46,vs 1,1WEJ,1FBI,0,4.29628239913218
47,vs 1,1WEJ,1H0D,0,4.238032341692297
48,vs 1,1WEJ,1NSN,0,4.100480946587315
49,vs 1,1WEJ,1OB1,0,3.5856934785005903
50,vs 1,1WEJ,2YPV,0,4.0016281847603095
51,vs 1,1WEJ,3RAJ,0,2.9546167386861595
52,vs 1,1WEJ,3VRL,0,3.4340982088778587
53,vs 1,1WEJ,5E94,0,4.130612823757763
54,vs 1,2YPV,1ADQ,0,3.0340554218765012
55,vs 1,2YPV,1FBI,0,4.05138744308478
56,vs 1,2YPV,1H0D,0,3.3915037833676154
57,vs 1,2YPV,1NSN,0,4.048818150912247
58,vs 1,2YPV,1OB1,0,4.3253267411113905
59,vs 1,2YPV,1WEJ,0,4.0016281847603095
60,vs 1,2YPV,3RAJ,0,3.2650621245166627
61,vs 1,2YPV,3VRL,0,4.6371487180332736
62,vs 1,2YPV,5E94,0,2.929317637737191
63,vs 1,3RAJ,1ADQ,0,2.1052645949637716
64,vs 1,3RAJ,1FBI,0,3.430753716351924
65,vs 1,3RAJ,1H0D,0,3.417091899164855
66,vs 1,3RAJ,1NSN,0,3.483258370621299
67,vs 1,3RAJ,1OB1,0,2.6437641256988313
68,vs 1,3RAJ,1WEJ,0,2.9546167386861595
69,vs 1,3RAJ,2YPV,0,3.2650621245166627
70,vs 1,3RAJ,3VRL,0,3.7563664016221177
71,vs 1,3RAJ,5E94,0,2.9312886932737134
72,vs 1,3VRL,1ADQ,0,4.197909467725461
73,vs 1,3VRL,1FBI,0,5.018089053686528
74,vs 1,3VRL,1H0D,0,4.523842098317358
75,vs 1,3VRL,1NSN,0,3.6976026156916015
76,vs 1,3VRL,1OB1,0,4.256456565439956
77,vs 1,3VRL,1WEJ,0,3.4340982088778587
78,vs 1,3VRL,2YPV,0,4.6371487180332736
79,vs 1,3VRL,3RAJ,0,3.7563664016221177
80,vs 1,3VRL,5E94,0,4.924167800833202
81,vs 1,5E94,1ADQ,0,3.160970508241473
82,vs 1,5E94,1FBI,0,4.401771043988719
83,vs 1,5E94,1H0D,0,3.4999209266050366
84,vs 1,5E94,1NSN,0,4.078814964308493
85,vs 1,5E94,1OB1,0,3.4563586007510723
86,vs 1,5E94,1WEJ,0,4.130612823757763
87,vs 1,5E94,2YPV,0,2.929317637737191
88,vs 1,5E94,3RAJ,0,2.9312886932737134
89,vs 1,5E94,3VRL,0,4.924167800833202
